OrderID	ProductName	CategoryName	SupplierName	Quantity	Price	Revenue
10285	Chais	Beverages	Exotic Liquid	45	18	810
10294	Chais	Beverages	Exotic Liquid	18	18	324
10317	Chais	Beverages	Exotic Liquid	20	18	360
10348	Chais	Beverages	Exotic Liquid	15	18	270
10354	Chais	Beverages	Exotic Liquid	12	18	216
10370	Chais	Beverages	Exotic Liquid	15	18	270
10406	Chais	Beverages	Exotic Liquid	10	18	180
10413	Chais	Beverages	Exotic Liquid	24	18	432
10255	Chang	Beverages	Exotic Liquid	20	19	380
10258	Chang	Beverages	Exotic Liquid	50	19	950
10264	Chang	Beverages	Exotic Liquid	35	19	665
10298	Chang	Beverages	Exotic Liquid	40	19	760
10327	Chang	Beverages	Exotic Liquid	25	19	475
10335	Chang	Beverages	Exotic Liquid	7	19	133
10342	Chang	Beverages	Exotic Liquid	24	19	456
10393	Chang	Beverages	Exotic Liquid	25	19	475
10418	Chang	Beverages	Exotic Liquid	60	19	1140
10435	Chang	Beverages	Exotic Liquid	10	19	190
10440	Chang	Beverages	Exotic Liquid	45	19	855
10254	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	15	4.5	67.5
10263	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	28	4.5	126
10275	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	12	4.5	54
10280	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	12	4.5	54
10281	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	6	4.5	27
10293	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	10	4.5	45
10352	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	10	4.5	45
10355	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	25	4.5	112.5
10358	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	10	4.5	45
10386	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	15	4.5	67.5
10387	Guaran† Fant†stica	Beverages	Refrescos Americanas LTDA	15	4.5	67.5
10287	Sasquatch Ale	Beverages	Bigfoot Breweries	20	14	280
10315	Sasquatch Ale	Beverages	Bigfoot Breweries	14	14	196
10358	Sasquatch Ale	Beverages	Bigfoot Breweries	10	14	140
10367	Sasquatch Ale	Beverages	Bigfoot Breweries	36	14	504
10386	Sasquatch Ale	Beverages	Bigfoot Breweries	10	14	140
10438	Sasquatch Ale	Beverages	Bigfoot Breweries	20	14	280
10261	Steeleye Stout	Beverages	Bigfoot Breweries	20	18	360
10281	Steeleye Stout	Beverages	Bigfoot Breweries	4	18	72
10286	Steeleye Stout	Beverages	Bigfoot Breweries	100	18	1800
10321	Steeleye Stout	Beverages	Bigfoot Breweries	10	18	180
10324	Steeleye Stout	Beverages	Bigfoot Breweries	70	18	1260
10390	Steeleye Stout	Beverages	Bigfoot Breweries	40	18	720
10398	Steeleye Stout	Beverages	Bigfoot Breweries	30	18	540
10400	Steeleye Stout	Beverages	Bigfoot Breweries	35	18	630
10424	Steeleye Stout	Beverages	Bigfoot Breweries	60	18	1080
10329	Cìte de Blaye	Beverages	Aux joyeux ecclÇsiastiques	20	263.5	5270
10351	Cìte de Blaye	Beverages	Aux joyeux ecclÇsiastiques	20	263.5	5270
10353	Cìte de Blaye	Beverages	Aux joyeux ecclÇsiastiques	50	263.5	13175
10360	Cìte de Blaye	Beverages	Aux joyeux ecclÇsiastiques	10	263.5	2635
10372	Cìte de Blaye	Beverages	Aux joyeux ecclÇsiastiques	40	263.5	10540
10417	Cìte de Blaye	Beverages	Aux joyeux ecclÇsiastiques	50	263.5	13175
10424	Cìte de Blaye	Beverages	Aux joyeux ecclÇsiastiques	49	263.5	12911.5
10253	Chartreuse verte	Beverages	Aux joyeux ecclÇsiastiques	42	18	756
10257	Chartreuse verte	Beverages	Aux joyeux ecclÇsiastiques	6	18	108
10297	Chartreuse verte	Beverages	Aux joyeux ecclÇsiastiques	60	18	1080
